trialidx,setidx,stimIdx,repIdx,stim_obj,CorrectRespL,CorrectRespR
1,6,2,1,stims/plasticbasket01a.jpg,x,period
2,3,3,1,stims/foodprocessor.jpg,z,comma
3,9,14,1,stims/candle08b.jpg,c,slash
4,4,5,1,stims/bleachbottle.jpg,x,period
5,5,64,1,stims/thermometer02b.jpg,x,period
6,7,31,1,stims/bikehelmet.jpg,c,slash
7,8,51,1,stims/rope03.jpg,c,slash
8,1,37,1,stims/lipstick02a.jpg,z,comma
9,6,2,2,stims/plasticbasket01a.jpg,x,period
10,4,5,2,stims/bleachbottle.jpg,x,period
11,3,3,2,stims/foodprocessor.jpg,z,comma
12,1,37,2,stims/lipstick02a.jpg,z,comma
13,5,64,2,stims/thermometer02b.jpg,x,period
14,7,31,2,stims/bikehelmet.jpg,c,slash
15,3,3,3,stims/foodprocessor.jpg,z,comma
16,2,10,1,stims/broccoli01a.jpg,z,comma
17,9,14,2,stims/candle08b.jpg,c,slash
18,7,31,3,stims/bikehelmet.jpg,c,slash
19,4,5,3,stims/bleachbottle.jpg,x,period
20,8,51,2,stims/rope03.jpg,c,slash
21,6,2,3,stims/plasticbasket01a.jpg,x,period
22,1,37,3,stims/lipstick02a.jpg,z,comma
23,5,64,3,stims/thermometer02b.jpg,x,period
24,4,5,4,stims/bleachbottle.jpg,x,period
25,5,64,4,stims/thermometer02b.jpg,x,period
26,9,14,3,stims/candle08b.jpg,c,slash
27,7,31,4,stims/bikehelmet.jpg,c,slash
28,2,10,2,stims/broccoli01a.jpg,z,comma
29,8,51,3,stims/rope03.jpg,c,slash
30,1,37,4,stims/lipstick02a.jpg,z,comma
31,2,10,3,stims/broccoli01a.jpg,z,comma
32,1,37,5,stims/lipstick02a.jpg,z,comma
33,6,2,4,stims/plasticbasket01a.jpg,x,period
34,3,3,4,stims/foodprocessor.jpg,z,comma
35,9,14,4,stims/candle08b.jpg,c,slash
36,5,64,5,stims/thermometer02b.jpg,x,period
37,7,31,5,stims/bikehelmet.jpg,c,slash
38,8,51,4,stims/rope03.jpg,c,slash
39,7,31,6,stims/bikehelmet.jpg,c,slash
40,4,5,5,stims/bleachbottle.jpg,x,period
41,5,64,6,stims/thermometer02b.jpg,x,period
42,2,10,4,stims/broccoli01a.jpg,z,comma
43,4,5,6,stims/bleachbottle.jpg,x,period
44,9,14,5,stims/candle08b.jpg,c,slash
45,3,3,5,stims/foodprocessor.jpg,z,comma
46,7,31,7,stims/bikehelmet.jpg,c,slash
47,9,14,6,stims/candle08b.jpg,c,slash
48,1,37,6,stims/lipstick02a.jpg,z,comma
49,2,10,5,stims/broccoli01a.jpg,z,comma
50,1,37,7,stims/lipstick02a.jpg,z,comma
51,7,31,8,stims/bikehelmet.jpg,c,slash
52,6,2,5,stims/plasticbasket01a.jpg,x,period
53,2,10,6,stims/broccoli01a.jpg,z,comma
54,4,5,7,stims/bleachbottle.jpg,x,period
55,6,2,6,stims/plasticbasket01a.jpg,x,period
56,5,64,7,stims/thermometer02b.jpg,x,period
57,3,3,6,stims/foodprocessor.jpg,z,comma
58,2,10,7,stims/broccoli01a.jpg,z,comma
59,4,5,8,stims/bleachbottle.jpg,x,period
60,9,14,7,stims/candle08b.jpg,c,slash
61,6,2,7,stims/plasticbasket01a.jpg,x,period
62,5,64,8,stims/thermometer02b.jpg,x,period
63,8,51,5,stims/rope03.jpg,c,slash
64,3,3,7,stims/foodprocessor.jpg,z,comma
65,7,31,9,stims/bikehelmet.jpg,c,slash
66,8,51,6,stims/rope03.jpg,c,slash
67,9,14,8,stims/candle08b.jpg,c,slash
68,6,2,8,stims/plasticbasket01a.jpg,x,period
69,1,37,8,stims/lipstick02a.jpg,z,comma
70,8,51,7,stims/rope03.jpg,c,slash
71,2,10,8,stims/broccoli01a.jpg,z,comma
72,5,64,9,stims/thermometer02b.jpg,x,period
73,1,37,9,stims/lipstick02a.jpg,z,comma
74,2,10,9,stims/broccoli01a.jpg,z,comma
75,9,14,9,stims/candle08b.jpg,c,slash
76,3,3,8,stims/foodprocessor.jpg,z,comma
77,6,2,9,stims/plasticbasket01a.jpg,x,period
78,4,5,9,stims/bleachbottle.jpg,x,period
79,8,51,8,stims/rope03.jpg,c,slash
80,6,2,10,stims/plasticbasket01a.jpg,x,period
81,7,31,10,stims/bikehelmet.jpg,c,slash
82,9,14,10,stims/candle08b.jpg,c,slash
83,8,51,9,stims/rope03.jpg,c,slash
84,1,37,10,stims/lipstick02a.jpg,z,comma
85,3,3,9,stims/foodprocessor.jpg,z,comma
86,1,37,11,stims/lipstick02a.jpg,z,comma
87,4,5,10,stims/bleachbottle.jpg,x,period
88,3,3,10,stims/foodprocessor.jpg,z,comma
89,9,14,11,stims/candle08b.jpg,c,slash
90,5,64,10,stims/thermometer02b.jpg,x,period
91,4,5,11,stims/bleachbottle.jpg,x,period
92,6,2,11,stims/plasticbasket01a.jpg,x,period
93,2,10,10,stims/broccoli01a.jpg,z,comma
94,5,64,11,stims/thermometer02b.jpg,x,period
95,7,31,11,stims/bikehelmet.jpg,c,slash
96,6,2,12,stims/plasticbasket01a.jpg,x,period
97,8,51,10,stims/rope03.jpg,c,slash
98,3,3,11,stims/foodprocessor.jpg,z,comma
99,9,14,12,stims/candle08b.jpg,c,slash
100,8,51,11,stims/rope03.jpg,c,slash
101,7,31,12,stims/bikehelmet.jpg,c,slash
102,4,5,12,stims/bleachbottle.jpg,x,period
103,1,37,12,stims/lipstick02a.jpg,z,comma
104,2,10,11,stims/broccoli01a.jpg,z,comma
105,3,3,12,stims/foodprocessor.jpg,z,comma
106,8,51,12,stims/rope03.jpg,c,slash
107,2,10,12,stims/broccoli01a.jpg,z,comma
108,5,64,12,stims/thermometer02b.jpg,x,period
